player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Mateo Kovačić,Manchester City,M,3,0,0,44,3,50,90,45,135,91.21621622,0,0,0,6,1,0,0,10,1,0,1,0,4,6,0,5,0,6,0,0,0.43609717,0.1619,0,0,0,1,0,1,3,3,0,0,0,,6,50,0,0,0,13,2,4,0,1,134,0,0,0,0,0,0,0,0,0,0,0,21,1,0,6.816666667,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,66.66666667,0,2,1,50,4,6,3,0,6,50,6,100,48,148,40.9,2,0,178,2,0,0
Nathan Aké,Manchester City,D,13,3,75,110,7,28,223,217,440,88.70967742,18,60,12,18,0,0,0,17,2,1,2,3,31,14,0,0,2,18,0,1,0.5331794,0.7167,3,0,0,14,0,0,9,8,1,0,0,,16,72.72727273,0,0,0,56,5,7,0,6,703,1,1,0,0,0,0,0,0,0,0,0,68,1,0,6.8,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,0,0,8,5,62.5,7,24,1,4,34,65.38461538,25,262,234,496,95.2,6,1,608,8,1,0
Savinho,Manchester City,M,3,7,17.5,157,5,31.25,247,62,309,82.84182306,0,0,4,24,1,0,0,39,0,6,3,2,6,23,0,9,2,60,0,0,1.62195759,2.3254,9,0,5,0,1,2,7,6,1,1,0,,41,42.26804124,0,0,0,64,5,9,1,7,846,4,0,0,0,0,0,0,0,0,0,1,171,4,0,6.752173913,0,0,0,0,0,0,0,0,846,0,0,20,0,6,11,17,32.0754717,0,9,5,55.55555556,9,15,53,40,41,40.59405941,16,304,69,373,155.3,20,0,598,15,2,0
Omar Marmoush,Manchester City,F,1,0,0,64,1,100,106,35,141,87.03703704,3,33.33333333,6,21,3,0,0,20,3,2,9,0,2,19,0,15,4,46,0,0,0.79101474,2.7134,10,0,10,0,3,6,5,4,1,3,0,,43,51.80722892,0,0,1,21,2,12,0,8,734,6,2,0,0,0,0,0,0,0,0,0,75,5,0,6.736842105,0,3,0,0,0,0,0,0,244.6666667,0,3,21,9,12,9,10,45.45454545,0,13,7,53.84615385,12,2,22,11,46,50,1,125,37,162,128,30,1,322,21,3,0
Rico Lewis,Manchester City,D,8,0,0,82,9,56.25,142,99,241,84.56140351,1,50,1,11,1,0,0,15,2,0,1,0,6,10,0,8,4,20,0,0,1.39026496,0.1876,5,0,0,0,0,1,7,7,0,0,0,,16,45.71428571,0,0,0,44,7,7,0,4,423,0,1,0,0,0,0,0,0,0,0,0,63,5,0,6.66,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,50,0,5,3,60,7,13,4,2,17,45.94594595,16,181,104,285,66.6,3,0,387,9,2,0
John Stones,Manchester City,D,4,0,0,34,7,53.84615385,119,163,282,93.37748344,11,84.61538462,2,9,0,0,0,19,0,0,0,0,21,8,0,1,3,6,1,0,0.08763632,,0,0,0,1,0,0,10,9,1,0,0,,3,42.85714286,0,0,0,20,3,1,0,5,449,0,6,0,0,0,0,0,0,0,0,0,28,1,0,6.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,1,1,100,1,6,2,4,14,70,13,131,171,302,52.6,0,0,351,0,0,0
Divine Mukasa,Manchester City,M,0,0,0,11,0,0,15,3,18,94.73684211,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0,2,1,6,0,0,0.20618365,,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,3,19,13,0,0,23,0,0,0
Bruno Fernandes,Manchester United,M,152,55,30.05464481,662,138,60,1089,550,1639,82.19658977,21,38.88888889,33,35,21,1,0,167,33,8,30,7,42,35,0,30,39,148,0,3,12.3178245,10.8348,25,1,10.58823529,0,9,30,46,40,6,8,1,,103,47.24770642,0,0,5,355,20,137,0,35,3066,4,5,0,1,6,1,66.66666667,0,4,0,0,594,16,0,7.605714286,0,9,0,0,0,0,0,0,340.6666667,20,5,39,46,31,24,15,41.66666667,0,54,32,59.25925926,136,250,36,183,124,45.58823529,230,1368,626,1994,266.2,85,7,2647,35,5,0
Casemiro,Manchester United,M,105,4,23.52941176,306,86,54.08805031,693,608,1301,81.3125,57,51.35135135,54,34,2,0,0,138,4,6,16,2,73,34,0,13,50,169,0,5,3.12378244,5.5203,46,0,17.30769231,0,9,11,31,28,3,8,1,,131,53.25203252,8,0,1,299,31,36,0,33,2593,5,27,0,0,0,0,0,0,0,0,0,369,9,0,7.220588235,1,1,0,0,0,0,0,0,288.1111111,0,0,31,21,18,18,6,37.5,0,90,45,50,36,167,16,17,188,52.66106443,159,896,704,1600,245.5,52,3,2128,36,9,1
Matheus Cunha,Manchester United,F,25,11,22,283,22,52.38095238,470,238,708,80.45454545,28,37.83783784,46,33,2,0,0,127,4,4,32,3,22,33,0,53,18,189,0,0,3.28227699,7.0576,27,0,11.11111111,0,10,12,35,31,4,8,2,,136,48.74551971,0,0,3,172,21,35,1,29,2503,2,3,0,1,0,0,0,0,0,0,2,410,20,0,7.090909091,0,9,0,0,0,0,0,0,250.3,0,0,51,39,23,35,44,48.35164835,0,39,23,58.97435897,34,42,91,50,164,46.45892351,42,597,283,880,234,90,3,1515,54,4,0
Lisandro Martínez,Manchester United,D,39,1,50,117,44,45.36082474,368,476,844,89.8828541,12,57.14285714,9,18,0,0,0,67,1,0,3,4,62,18,1,2,3,25,0,1,0.60057816,0.1503,9,0,0,39,0,0,15,13,2,0,0,,35,68.62745098,0,0,0,95,12,5,0,13,1237,0,12,1,0,0,0,0,0,0,0,0,109,1,0,7.088888889,1,0,0,0,0,0,0,0,0,0,0,1,4,2,0,14,87.5,0,19,12,63.15789474,5,73,16,2,47,65.27777778,97,441,498,939,127.6,5,1,1109,2,0,0
Senne Lammens,Manchester United,G,40,0,0,38,193,33.80035026,151,405,556,59.08607864,7,100,0,32,0,0,0,225,0,0,0,8,26,32,0,0,1,1,1,0,0.04066991,,0,0,0,147,0,0,39,34,5,0,0,4.3866,4,80,0,30,0,385,0,0,0,32,2880,0,0,0,0,0,0,0,4,0,0,0,394,0,14,7.0125,0,0,11,53,24,79,1,12,0,0,0,0,0,0,0,0,0,11,1,1,100,0,104,0,0,11,91.66666667,571,473,468,941,224.4,0,1,1180,4,0,0
Matthijs de Ligt,Manchester United,D,14,4,80,35,21,47.72727273,141,396,537,87.74509804,50,61.72839506,31,13,0,0,0,40,2,1,3,1,68,13,0,1,6,44,0,1,0.76599626,1.4559,6,0,9.090909091,2,1,1,20,18,2,1,0,,24,64.86486486,1,0,0,75,15,3,0,13,1170,0,7,0,0,0,0,0,0,0,0,0,89,1,0,6.953846154,0,0,0,0,0,0,0,0,1170,0,0,11,0,5,3,1,50,0,19,13,68.42105263,3,28,2,5,74,62.71186441,44,187,425,612,90.4,11,1,791,5,0,0
Patrick Dorgu,Manchester United,M,9,15,26.31578947,133,7,36.84210526,218,166,384,76.03960396,44,53.65853659,38,26,4,0,0,77,6,3,5,2,32,25,0,22,16,125,0,0,1.85359988,2.3517,23,0,15.38461538,0,4,8,20,19,1,3,1,,105,54.6875,1,0,1,121,15,27,3,15,1461,7,3,0,0,0,0,0,0,0,0,0,272,3,0,6.94,0,0,0,0,0,0,0,0,365.25,0,0,19,7,9,12,11,28.20512821,0,48,31,64.58333333,27,26,39,57,149,54.37956204,19,308,197,505,173.5,26,2,979,47,5,0
Ayden Heaven,Manchester United,D,12,0,0,33,17,56.66666667,111,336,447,90.48582996,18,64.28571429,10,17,1,0,0,40,1,1,1,2,60,15,0,1,5,25,0,0,0.18337896,0.3454,7,0,0,19,0,1,15,12,3,0,0,,37,71.15384615,0,0,0,47,1,2,0,11,938,0,11,1,0,0,0,0,0,0,0,0,54,1,0,6.906666667,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,6,75,0,22,13,59.09090909,2,19,8,1,55,68.75,30,142,352,494,103.6,3,1,631,9,2,0
Amad Diallo,Manchester United,M,16,11,24.44444444,330,23,69.6969697,525,270,795,87.94247788,13,40.625,19,32,3,0,0,113,7,6,14,4,29,32,0,25,20,126,1,0,4.78448291,5.5665,23,0,3.773584906,0,2,5,33,30,3,1,1,,115,51.8018018,1,0,1,109,17,41,1,27,2344,12,3,0,0,0,0,0,0,0,0,1,271,10,0,6.89375,0,0,0,0,0,0,0,0,1172,0,0,38,15,16,23,39,49.36708861,0,38,25,65.78947368,41,27,79,45,128,50.39370079,33,607,297,904,220.6,53,0,1415,38,2,0
Noussair Mazraoui,Manchester United,D,14,4,30.76923077,134,19,47.5,260,214,474,87.29281768,18,56.25,14,20,0,0,0,46,0,0,3,2,54,20,0,4,3,40,0,2,0.3556401,0.1883,12,0,0,1,0,0,10,7,3,0,0,,50,65.78947368,0,0,0,69,14,7,0,11,1022,0,2,0,1,0,0,0,0,0,0,0,102,4,0,6.885,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,8,53.33333333,0,28,16,57.14285714,6,32,15,13,68,62.96296296,40,298,245,543,137.7,5,0,798,14,3,0
Harry Maguire,Manchester United,D,30,1,25,66,47,42.72727273,258,475,733,86.13396005,59,74.6835443,20,23,2,0,0,62,2,1,3,5,105,23,1,2,4,42,1,1,0.52094057,1.1115,16,0,7.142857143,16,1,3,19,17,2,1,0,,39,63.93442623,1,0,2,118,13,4,0,19,1667,0,11,0,0,0,2,0,0,0,0,0,129,2,0,6.882608696,1,0,0,0,0,0,0,0,1667,0,0,14,0,7,4,1,50,0,22,17,77.27272727,4,58,2,4,98,70,110,338,513,851,158.3,14,1,1067,16,3,0
Kobbie Mainoo,Manchester United,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Mount,Manchester United,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,Manchester United,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Mbeumo,Manchester United,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Šeško,Manchester United,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Shaw,Manchester United,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Ugarte,Manchester United,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leny Yoro,Manchester United,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shea Lacey,Manchester United,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Fredricson,Manchester United,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Fletcher,Manchester United,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Malacia,Manchester United,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altay Bayındır,Manchester United,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Fletcher,Manchester United,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Zirkzee,Manchester United,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bendito Mantato,Manchester United,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
